id,track_name,artist_names,source,release_date,duration,peak_rank,previous_rank,days_on_chart,rank,streams
54s6sdPuMjVtdB5d5KFzTC,Save Me,BTS,BIGHIT MUSIC,2019-05-10,220,37,-1,12,143,1945734475
3yNZ5r3LKfdmjoS3gkhUCT,bad guy (with Justin Bieber),"Billie Eilish, Justin Bieber",Darkroom/Interscope Records,2019-07-12,220,9,-1,77,144,1945734475
3qnoOm4fwZPBS116f5hpgF,All Mine,Kanye West,"Getting Out Our Dreams, Inc./Def Jam Recordings",2018-05-25,169,61,72,12,145,1943528808
3Qq6L7O8VejX6QHW8PFSuR,Giả Vờ Say,Đông Nhi,Yin Yang Media,2018-11-16,169,12,149,91,146,1943528808
4pWF7uyalOeveT6oansXmy,Lạc Trôi,Sơn Tùng M-TP,Universal Music Indochina Distributed Labels,2018-04-12,203,24,164,220,147,1931676698
1NbGcdgwRHZ5rbPIT9hdR3,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",EMI Recorded Music Australia Pty Ltd,2018-06-15,203,22,48,2,148,1931676698
4QIo4oxwzzafcBWkKjDpXY,xanny,Billie Eilish,Darkroom/Interscope Records,2019-03-22,196,50,167,43,149,1914922428
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,Columbia,2019-03-22,196,132,132,15,150,1914241214
7uvXCImcEEKhjRRhLyjZLn,Thư Cho Anh,TRANG,Nhaccuatrang,2018-06-29,196,32,-1,84,151,1914241214
3KUGAgxo3b81X5bWoOp0U8,Back Door,Stray Kids,Republic Records - Stray Kids,2018-12-14,239,195,-1,1,152,1906586212
0DhkTGjEaIHaSxTfC14BFm,Lullaby,"R3HAB, Mike Williams",CYB3RPVNK,2017-09-07,239,61,65,19,153,1904732879
5WvAo7DNuPRmk4APhdPzi8,No Brainer,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",Epic/We The Best,2018-07-12,174,8,51,50,154,1892202489
4heFQCyiW0RUEX1Q1lb008,Different World (feat. CORSAK),"Alan Walker, K-391, Sofia Carson, CORSAK",Kreatell Music,2018-12-07,171,24,57,13,155,1892202489
0pQ67Kp2kED4ISy1ieGPEq,Ghé Qua,"PC, Dick, tofutns",12 trái lê,2021-06-25,231,59,64,1388,156,1884737652
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,Atlantic Records UK,2021-10-25,231,2,196,401,157,1884737652
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,RBMG/Def Jam,2021-03-19,153,64,158,244,158,1869852734
